Id,Text,Time,Reaction Count,Share Count,Comment Count,Comments,Like Count,Love Count,Haha Count,Wow Count,Care Count,Sad Count,Angry Count
722635819896061,Exciting news for student creators! 🌟☁️ Early access to Unity Cloud🎟️ 20% stackable discount in the Asset Store⚙️ Version Control to level up your projectsFind out more about the Unity Student Plan's new perks: on.unity.com/3SNYdAd,2023-11-24 00:00:02,75,10,7,"[{'Name': 'Alex Sivitilli', 'Text': 'Are there plans to provide access to Muse for those on the Unity Student Plan?', 'Reaction Count': 0, 'Time': '2023, 11, 23, 0, 0'}, {'Name': 'Tyler Roemhildt', 'Text': 'Godot Student does something even cooler. Instead of selling closed source features, the entire engine is open source and completely free.', 'Reaction Count': 0, 'Time': '2023, 11, 23, 0, 0'}]",72,3,0,0,0,0,0
721609396665370,"ICYMI: Our Universal Render Pipeline 3D Sample just dropped in the #Unity Hub! 🌟It includes 4 scenes with different art styles, rendering paths, and complexity you can explore to learn how to use #URP features for accelerated multiplatform development.Download it here: https://on.unity.com/47CZ1vW",2023-11-22 01:01:14,441,53,22,"[{'Name': 'Willy Alers', 'Text': 'Are there any plans for updates to the 2d tools?', 'Reaction Count': 0, 'Time': '2023, 11, 23, 0, 0'}, {'Name': 'Bandar Ameen Kacem Mohammed', 'Text': 'What is the best Features in 2024?', 'Reaction Count': 0, 'Time': '2023, 11, 21, 0, 0'}, {'Name': '李秉翰', 'Text': '請多介紹你們的AI功能', 'Reaction Count': 0, 'Time': '2023, 11, 23, 0, 0'}, {'Name': 'Chiagozie Ogbonna', 'Text': ""Finally! But I'm really curious about their performance on Android phones. I have not yet seen amazing graphics such as this rendered at a stable 30FPS on most Android phones. Would've been really cool to have those samples too. The meta quest and iphone... 10/10"", 'Reaction Count': 0, 'Time': '2023, 11, 21, 0, 0'}, {'Name': 'Matthew Nelson', 'Text': 'I would love to see more dots focused material built in to be able to optimize at the flip of a switch, or even make it an engine norm', 'Reaction Count': 0, 'Time': '2023, 11, 21, 0, 0'}, {'Name': 'Jamiel Boling', 'Text': ""Unity this is a good step.. having more scenes that display complex features to learn from will ultimately bring more people to the program. As a seller of the product, you don't have to hide secrets, thats for the companies to do. It is in your best interest to show capability and open that capability up to everyone who is able to pay to use your program. If you keep this up, we're def coming back. (we haven't really left but those new license fees are questionable still so our new project has been started in unreal for now)"", 'Reaction Count': 0, 'Time': '2023, 11, 21, 0, 0'}, {'Name': 'Jaroslav Pachota', 'Text': 'Good job 👏👏', 'Reaction Count': 0, 'Time': '2023, 11, 22, 0, 0'}, {'Name': 'Pedro Duran', 'Text': 'Im going to play with it soon!', 'Reaction Count': 0, 'Time': '2023, 11, 21, 0, 0'}, {'Name': 'Daniel Machado', 'Text': 'Cindy Solano', 'Reaction Count': 0, 'Time': '2023, 11, 22, 0, 0'}, {'Name': 'Hector Cerezo', 'Text': 'Hector Magaña Castellanos', 'Reaction Count': 0, 'Time': '2023, 11, 21, 0, 0'}, {'Name': 'Kashif C Riley', 'Text': 'Meh', 'Reaction Count': 0, 'Time': '2023, 11, 21, 0, 0'}]",365,69,0,3,2,0,2
721143446711965,"For nearly a decade, Gameheads has been fostering game development skills and providing industry experiences for underrepresented youth in Oakland, California with support from the Unity Charitable Fund.Unity's Jessica Lindl recently spoke with Gameheads partners Kevin Johnson and Trinidad Hermida to explore the ongoing efforts and opportunities aimed at building a more inclusive and diverse games industry.Listen to the full conversation here:",2023-11-21 03:29:12,62,2,5,"[{'Name': 'احمد قسم الله احمد', 'Text': 'Huh', 'Reaction Count': 0, 'Time': '2023, 11, 20, 0, 0'}, {'Name': 'Gabriel Santee', 'Text': 'Devin Wessell', 'Reaction Count': 0, 'Time': '2023, 11, 20, 0, 0'}]",51,9,0,0,1,0,1
720955496730760,"Get ready to score Black Friday savings on the #AssetStore!Save 50% on 300+ best-selling assets and up to 70% on Flash Deals from the Unity Asset Store from now until December 5, 2023. On top of that, new deals drop every 12 hours. Check 'em out: https://on.unity.com/49AwA3y",2023-11-20 21:00:01,113,3,6,"[{'Name': 'Christopher Orestis', 'Text': ""Any recommendations\n? What's the best water asset?"", 'Reaction Count': 0, 'Time': '2023, 11, 20, 0, 0'}]",91,6,14,1,0,0,1
719451900214453,"🏆 The 15th Unity Awards have their winners 🏆Thank you to everyone who voted, and congratulations to the winners!Find the list for all categories: on.unity.com/47jgBVX#MadeWithUnity #UnityAwards15",2023-11-18 03:00:26,207,12,21,"[{'Name': 'Kevin De Pooter', 'Text': 'Join the cult! Awesome that they have won!', 'Reaction Count': 0, 'Time': '2023, 11, 18, 0, 0'}, {'Name': 'Asher Dockery', 'Text': 'among us haha ggs', 'Reaction Count': 0, 'Time': '2023, 11, 18, 0, 0'}, {'Name': 'Khushal Khan', 'Text': 'Khushal Khan', 'Reaction Count': 0, 'Time': '2023, 11, 18, 0, 0'}]",172,30,0,0,5,0,0
719398023553174,"Introducing Unity 2023.2 Tech Stream! This release comes packed with valuable updates to the HDRP and URP, delivering accelerated lighting probe and baking workflows, and platform improvements including improved XR interactions and graphically rich experiences on mobile devices ⚡️See more here: https://on.unity.com/3QIQW1Z",2023-11-18 00:30:14,189,7,11,"[{'Name': ""Garrett O'Brien"", 'Text': 'Would even cooler if you had the waves in the water moving. I built something similar in 3DSMax full animated with moon rise and background shifting with the moon rise to give the current view of the east spinning.', 'Reaction Count': 0, 'Time': '2023, 11, 18, 0, 0'}, {'Name': 'Andy Weber', 'Text': ""Does the update completely break third party assets again like they have for the past few years? I don't want to have to spend another couple hundred and a few months of waiting for the assets I use to release a new version of their asset that I have to buy again because unity has made it where you basically have to rebuild anything shader related from the ground up and is so much work for the publisher they have to charge full price for the asset again. Hard pass if that's the case."", 'Reaction Count': 0, 'Time': '2023, 11, 18, 0, 0'}, {'Name': 'Chí Dĩ', 'Text': 'wonderful', 'Reaction Count': 0, 'Time': '2023, 11, 18, 0, 0'}, {'Name': 'Jamie Nicholas Shelley', 'Text': ""Could you fix the CPU lag from universal render pipeline garbage collecting new instances instead of doing what it did correctly two years ago? There's also the lag issue from render texture pipeline back to CPU that also didn't occur a few years ago. Some beta branches work better than others..\nhttps://\nforum.unity.com/\nthreads/\nallocations-with\n-multiple-camer\nas.1404985/"", 'Reaction Count': 0, 'Time': '2023, 11, 18, 0, 0'}, {'Name': 'Sasindu Sayura', 'Text': 'Aaron Gamith', 'Reaction Count': 0, 'Time': '2023, 11, 18, 0, 0'}]",164,22,0,2,1,0,0
719299503563026,"And just like that, #Unite2023 has come to an end.We wanted to thank everyone for a wonderful event. If you were a Speaker, a Sponsor, an attendee, or watching virtually from home, we appreciate you all greatly and can't wait for the next Unite ❣️Looking for a full event recap? Search no further: https://on.unity.com/46iekcj",2023-11-17 20:56:52,620,18,33,"[{'Name': 'Oda Stum', 'Text': 'Do I need to pay every time that I open the link?!', 'Reaction Count': 0, 'Time': '2023, 11, 18, 0, 0'}, {'Name': 'Poul-Henrik Oxlund Skræ', 'Text': ""I would love to attend next time - hopefully a little closer to Denmark, since my workplace has introducet a no flight policy (in order to minimize our CO² footprint) and it would take forever to get to Amsterdam by train. Can't wait to see the recaps."", 'Reaction Count': 0, 'Time': '2023, 11, 18, 0, 0'}, {'Name': 'Ferdinand Allan Bengco', 'Text': 'Should be.... ""And just like that, Unity has come to an end.""', 'Reaction Count': 0, 'Time': '2023, 11, 19, 0, 0'}, {'Name': 'Tim Hutton', 'Text': 'Out of interest, does your event photographer charge you every time one of these photos gets downloaded onto someone’s computer and viewed?', 'Reaction Count': 0, 'Time': '2023, 11, 18, 0, 0'}, {'Name': 'Francesco Finotto', 'Text': 'How\'s going after the little thing of ""you\'ll pay for any installation""? I left unity long time ago, but always loved compared to other major game engine', 'Reaction Count': 0, 'Time': '2023, 11, 18, 0, 0'}, {'Name': 'Dinamico Studio', 'Text': 'Love to see all!', 'Reaction Count': 0, 'Time': '2023, 11, 18, 0, 0'}, {'Name': 'Ali Raza', 'Text': '#freepalestinefo\nrever', 'Reaction Count': 0, 'Time': '2023, 11, 18, 0, 0'}, {'Name': 'Chawki Bkarim', 'Text': 'Gaza', 'Reaction Count': 0, 'Time': '2023, 11, 18, 0, 0'}, {'Name': 'Chawki Bkarim', 'Text': 'Gaza', 'Reaction Count': 0, 'Time': '2023, 11, 18, 0, 0'}]",530,77,7,2,4,0,0
718849266941383,Curious to learn more about the rumblings surrounding the Unity Awards? Unity Cloud? Do we dare even say... Unity 6?It's your last chance to join our #Unite2023 Keynote Broadcast premiere! You've got 5 minutes left. Grab a snack and let's go: https://on.unity.com/47fWHLD,2023-11-17 00:55:00,53,3,11,"[{'Name': 'Chiagozie Ogbonna', 'Text': 'Keynote was really good, and impressive but then again...we have more new features. I just want to see the current features in a more stable state and less buggy.\nGPU resident drawer, occlusion culling and APV are impressive', 'Reaction Count': 0, 'Time': '2023, 11, 18, 0, 0'}, {'Name': 'Christopher Orestis', 'Text': ""Can we have a single render pipeline. I just want one and also I would really like it if the engine had something that kept a list of everything being used that could be set up in a PDF that lists all of the credit and assets used. It's important for copyrighting."", 'Reaction Count': 0, 'Time': '2023, 11, 18, 0, 0'}, {'Name': 'Khushal Khan', 'Text': 'Unity 6 has runtime fees, we are happy with unity 2022 lts', 'Reaction Count': 0, 'Time': '2023, 11, 18, 0, 0'}, {'Name': 'Jaroslav Pachota', 'Text': 'Keynote', 'Reaction Count': 0, 'Time': '2023, 11, 18, 0, 0'}, {'Name': 'Karol Led', 'Text': ""All great... But how can we work without physicly accurate hands tracking like the one in Meta Interaction SDK (physics capsules).... XR Hands are still very very poor. I would like to work having in mind that I am creating for all available platforms but now I am restricted to Meta Physics Capsules as XR Hands doesn't have that option. Any upgrade soon????"", 'Reaction Count': 0, 'Time': '2023, 11, 20, 0, 0'}, {'Name': 'Eduard van Stee', 'Text': 'Like to see a unity for dummies', 'Reaction Count': 0, 'Time': '2023, 11, 18, 0, 0'}]",42,7,2,0,2,0,0
718632983629678,"🎉 Unity Muse is now available in early access.Get ready to easily explore ideas and iterate faster with powerful AI capabilities like Chat, and Sprite and Texture generation. Subscribe to access and discover an easier way to find answers, produce usable code, and generate project-ready assets that are safe to use thanks to our custom-built, responsibly trained models.Learn more: on.unity.com/46cBp08#Unite2023 #UnityMuse",2023-11-16 16:22:56,519,107,41,"[{'Name': 'Liran Twik', 'Text': 'So this is another separate subscription service?\nSurely this will be a great success like the havok physics which everyone use', 'Reaction Count': 0, 'Time': '2023, 11, 18, 0, 0'}, {'Name': 'Mohammad Tarikul', 'Text': 'Wow 😯😯', 'Reaction Count': 0, 'Time': '2023, 11, 18, 0, 0'}, {'Name': 'Judy Tyrer', 'Text': ""I'm also more interested in something that generates stories rather than art. I want to train them on the world I built and use a system to generate the stories because otherwise my game will spend 5 years in nothing but content creation. That's a lot of time for content creation."", 'Reaction Count': 0, 'Time': '2023, 11, 18, 0, 0'}, {'Name': 'Judy Tyrer', 'Text': '""We limited our reliance on pretrained models as we built Muse’s Texture and Sprite capabilities by training a latent diffusion model architecture from scratch, on original datasets that Unity owns and has responsibly curated.""\n\nThat is the key for why I would use it over anything produced by ChatGPT or Midjourney.', 'Reaction Count': 0, 'Time': '2023, 11, 18, 0, 0'}, {'Name': 'David Ville', 'Text': ""Have you had talks with Valve regarding the AI Ban on Steam? Because that's a big issue for using this tools."", 'Reaction Count': 0, 'Time': '2023, 11, 18, 0, 0'}, {'Name': 'Tsuyoi Raion', 'Text': ""looks bad lol i think i'll stick with real artists ;)"", 'Reaction Count': 0, 'Time': '2023, 11, 18, 0, 0'}, {'Name': 'Marcellus Wallace', 'Text': 'Despite subscribing i get ""Oops - Please check that you have an active Muse subscription for your Unity Account"", anyone might know what could be the problem?', 'Reaction Count': 0, 'Time': '2023, 11, 18, 0, 0'}, {'Name': 'Péter Nemszólokbe Nádasi', 'Text': ""I'm more interested in a stable, non-crashing editor."", 'Reaction Count': 0, 'Time': '2023, 11, 18, 0, 0'}, {'Name': 'Minh', 'Text': 'Lmao 😂😂😂', 'Reaction Count': 0, 'Time': '2023, 11, 18, 0, 0'}, {'Name': 'Tarek Lala', 'Text': 'Mhammad Al-Baali', 'Reaction Count': 0, 'Time': '2023, 11, 18, 0, 0'}, {'Name': 'Beri Kris', 'Text': 'Game changer? Oh wait 30$', 'Reaction Count': 0, 'Time': '2023, 11, 18, 0, 0'}, {'Name': 'Ricardo Ordaz León', 'Text': 'Erick Huitrón Ramírez', 'Reaction Count': 0, 'Time': '2023, 11, 18, 0, 0'}, {'Name': 'Omar Fostok', 'Text': 'Omran', 'Reaction Count': 0, 'Time': '2023, 11, 18, 0, 0'}, {'Name': 'Botond Borsos', 'Text': 'Zalán Borsos', 'Reaction Count': 0, 'Time': '2023, 11, 18, 0, 0'}, {'Name': 'Fouad Benamara', 'Text': 'Rafik Benamaraa', 'Reaction Count': 0, 'Time': '2023, 11, 18, 0, 0'}, {'Name': 'Andrew LaBoy', 'Text': 'Is the Steam AI ban including Unity Muse?', 'Reaction Count': 0, 'Time': '2023, 11, 18, 0, 0'}, {'Name': 'Chawki Bkarim', 'Text': 'Gaza', 'Reaction Count': 0, 'Time': '2023, 11, 18, 0, 0'}, {'Name': 'Chawki Bkarim', 'Text': 'Gaza', 'Reaction Count': 0, 'Time': '2023, 11, 18, 0, 0'}, {'Name': 'Wyatt Barriger', 'Text': 'So, muse looks cool.\nCan I start or join an online team with Unity?', 'Reaction Count': 0, 'Time': '2023, 11, 18, 0, 0'}]",394,101,1,16,5,2,0
718627286963581,"#Unite2023 is finally here, and we've had some exciting announcements at this year's keynote!👋 Introducing Unity 6⚙️ End-to-end multiplayer support☁️ New Unity Cloud💫 Unity Muse and SentisThere's a lot to unpack, so make sure to read the full keynote recap blog:",2023-11-16 16:05:03,111,12,6,"[{'Name': 'Guillaume Danel', 'Text': 'So... ""Spoilers"" I guess? The keynote is in roughly 6 hours', 'Reaction Count': 0, 'Time': '2023, 11, 18, 0, 0'}, {'Name': 'Tiến Quang Nguyễn', 'Text': 'Unity 6 ?', 'Reaction Count': 0, 'Time': '2023, 11, 18, 0, 0'}]",91,5,3,0,1,0,11
